Month;Station1;Station2;Station3;Station4;Station5;Station6;Station7;Station8;Station9
1;0.223;0.3831;0.0242;1.0095;0.198;0.066;1.414;0.1400296495956873;0.2738489208633093
2;0.304;0.3264;0.0147;1.1805;0.2;0.0309;1.235;0.1525808383233533;0.3229527559055118
3;0.194;0.2725;0.0134;1.2340;0.45;0.0382;1.110;0.2122533692722371;0.3192114695340501
4;0.175;0.1942;0.0144;1.1675;0.37;0.0469;0.997;0.1863342776203966;0.2425
5;0.091;0.1322;0.0111;1.2271;0.64;0.0255;0.832;0.1161603260869565;0.2315384615384615
6;0.026;0.0836;0.0007;1.0807;0.36;0.0621;0.785;0.0847787114845938;0.1878846153846154
7;0.022;0.17;0.0005;0.7471;0.3;0.0801;0.556;0.0741182795698924;0.1237591240875912
8;0.023;0.5854;0.0064;0.7851;0.3;0.0768;0.712;0.090127027027027;0.1175268817204301
9;0.03;0.4235;0.0067;0.7128;0.3;0.0744;0.892;0.1143977591036414;0.168996282527881
10;0.155;0.7661;0.0005;0.7802;0.23;0.0331;0.763;0.1055495750708215;0.2321146953405018
11;0.25;0.437;0.0139;1.0191;0.23;0.0197;0.861;0.1053248587570621;0.1996641791044776
12;0.285;0.4829;0.0176;0.9286;0.185;0.0476;1.082;0.1179702702702702;0.2545955882352941
